epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,413.746,1.21856,8.70329,0.71203,1.02551,0.02282,12.5603,0.93871,0.92313,0.97677,0.7733,0.68092,0.42462,0.41209,0.15221,0.90652,5.18646,0.44793,0.37695,0.02086,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,772.15,1.08541,5.88375,0.60599,0.64727,0.0199,6.55499,0.93599,0.92099,0.96702,0.70319,0.82274,0.59091,0.63196,0.30332,1.08107,3.81023,0.37078,0.43165,0.02662,0,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978,0.0197934,0.0065978
3,1098.81,1.12776,5.40648,0.50368,0.66633,0.02092,5.90175,0.92331,0.90226,0.95589,0.68263,0.75602,0.56744,0.58932,0.36002,1.12141,3.82246,0.27801,0.50697,0.02745,0,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916,0.0293975,0.00979916
4,1407.79,1.17779,5.24635,0.43478,0.7102,0.02197,5.64996,0.90186,0.84389,0.92555,0.65129,0.76827,0.5527,0.55173,0.32437,1.18442,3.89991,0.21759,0.6273,0.02939,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1719.22,1.12827,4.71573,0.38176,0.65439,0.02079,4.88198,0.94027,0.92558,0.97537,0.75756,0.80103,0.66968,0.68721,0.47038,0.93299,2.90957,0.15491,0.38429,0.02231,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2028.12,1.09705,4.38684,0.3529,0.61146,0.02002,4.40377,0.94194,0.93692,0.97445,0.77695,0.80748,0.67456,0.67056,0.47362,0.85677,2.86082,0.14361,0.37262,0.01972,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2339.47,1.0791,4.22556,0.33251,0.60765,0.01975,4.21412,0.93813,0.94176,0.98067,0.78231,0.79425,0.68971,0.70991,0.51397,0.8769,2.74459,0.11619,0.35379,0.02029,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2576.11,1.05225,4.00692,0.31981,0.58294,0.01925,3.92976,0.95175,0.94036,0.97986,0.79402,0.81476,0.73484,0.74675,0.56373,0.83102,2.52049,0.1164,0.34145,0.01914,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2803.05,1.03253,3.88253,0.31026,0.55858,0.01876,3.74608,0.95692,0.94543,0.9837,0.81761,0.81922,0.73812,0.75204,0.58061,0.76475,2.43536,0.10276,0.31561,0.01727,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3029.84,1.01555,3.72762,0.30219,0.54235,0.01835,3.46472,0.95416,0.94214,0.98125,0.79961,0.83252,0.75446,0.76928,0.59029,0.80221,2.30674,0.09889,0.34334,0.01832,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3257.74,0.98208,3.55986,0.29067,0.52926,0.01752,3.2227,0.94977,0.95043,0.98204,0.81779,0.81718,0.75188,0.76719,0.60563,0.77736,2.34696,0.10149,0.32007,0.01769,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3485.07,0.9782,3.49911,0.28481,0.51652,0.01752,3.14507,0.95872,0.96432,0.9868,0.82808,0.84029,0.78447,0.81588,0.65798,0.76206,2.12846,0.08371,0.29526,0.01703,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3712.99,0.97606,3.43355,0.28419,0.51209,0.0175,3.04751,0.95829,0.95208,0.98509,0.82452,0.85321,0.78294,0.81385,0.65162,0.75674,2.13059,0.09015,0.28811,0.01725,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3940.76,0.96136,3.3748,0.27313,0.50335,0.01712,2.93405,0.95245,0.95552,0.98372,0.82224,0.84618,0.77635,0.79522,0.63614,0.74456,2.11406,0.08554,0.30821,0.01686,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4168.42,0.95009,3.35008,0.27515,0.49756,0.01691,2.87982,0.95665,0.9619,0.98653,0.84309,0.84907,0.79363,0.82796,0.67828,0.7073,2.03028,0.08821,0.29171,0.01583,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4396.24,0.93697,3.21662,0.26841,0.48126,0.01653,2.62623,0.961,0.96409,0.98777,0.84732,0.83834,0.80497,0.81944,0.67355,0.69823,2.00403,0.08045,0.27737,0.01559,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4624.14,0.93091,3.1813,0.26592,0.48264,0.01646,2.60567,0.96011,0.96612,0.98825,0.85121,0.86271,0.80884,0.83853,0.6876,0.68592,1.93785,0.07685,0.27246,0.01526,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4851.51,0.92371,3.1302,0.26228,0.47318,0.01625,2.52015,0.96387,0.96904,0.98775,0.85308,0.84838,0.81076,0.84037,0.70297,0.68704,1.91293,0.07759,0.26031,0.01526,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5079.73,0.90991,3.0624,0.25973,0.46745,0.01603,2.41347,0.9637,0.96546,0.9878,0.85396,0.85877,0.81677,0.83972,0.69697,0.67004,1.86539,0.0782,0.26418,0.01476,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5307.64,0.90956,3.03163,0.25897,0.46494,0.01599,2.35518,0.96431,0.96789,0.98833,0.85796,0.86868,0.82949,0.85674,0.70892,0.66662,1.77571,0.07164,0.26391,0.01473,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5535.56,0.90529,2.9936,0.25447,0.46323,0.016,2.27854,0.96466,0.96546,0.98792,0.86158,0.86948,0.83026,0.8555,0.7141,0.66121,1.77534,0.07442,0.26073,0.01461,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5763.49,0.8945,2.92068,0.25209,0.45319,0.01572,2.20411,0.96429,0.96954,0.98857,0.86388,0.87682,0.82248,0.85386,0.71596,0.64446,1.76957,0.07461,0.2626,0.01418,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5991.32,0.88082,2.86172,0.24964,0.44107,0.01544,2.09307,0.96769,0.96661,0.98814,0.86963,0.86178,0.84287,0.8634,0.72587,0.63716,1.71546,0.0685,0.25127,0.01397,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6219.15,0.88196,2.84559,0.25215,0.44409,0.01543,2.0254,0.96454,0.97059,0.98825,0.87163,0.86851,0.85077,0.87028,0.73286,0.62347,1.67373,0.0744,0.25093,0.01371,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6447.33,0.8817,2.8844,0.24968,0.44346,0.01544,2.06931,0.96385,0.97018,0.98864,0.86892,0.87456,0.85001,0.8717,0.72737,0.63556,1.65597,0.06988,0.25402,0.01398,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6675.21,0.87102,2.80907,0.24599,0.43584,0.01519,1.94704,0.96787,0.96712,0.98911,0.87264,0.88685,0.83267,0.86576,0.73102,0.62379,1.65714,0.0679,0.24541,0.01363,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6902.88,0.86703,2.75574,0.24176,0.4266,0.01518,1.89438,0.96791,0.97262,0.98976,0.87613,0.87915,0.84917,0.87578,0.74046,0.62445,1.63896,0.06851,0.24414,0.01365,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7131.09,0.85845,2.75346,0.24308,0.43266,0.01492,1.82945,0.96544,0.97196,0.98927,0.87622,0.87903,0.85306,0.87449,0.73637,0.61177,1.62758,0.06658,0.24304,0.01336,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7359.08,0.85424,2.71268,0.24155,0.42749,0.01489,1.79717,0.97361,0.9685,0.98942,0.88056,0.87355,0.85689,0.87799,0.74839,0.60982,1.61205,0.06775,0.24012,0.01338,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7587.29,0.85444,2.70121,0.23901,0.43082,0.01484,1.7761,0.96901,0.97626,0.98999,0.88391,0.88952,0.85905,0.88904,0.75677,0.60301,1.57138,0.06704,0.23478,0.01318,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7815.43,0.84902,2.66349,0.23791,0.43206,0.01471,1.67371,0.96634,0.97515,0.98969,0.88353,0.8777,0.86522,0.88381,0.75215,0.59598,1.5675,0.06671,0.23714,0.01295,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8043.46,0.85235,2.68355,0.23778,0.42536,0.01482,1.73377,0.9672,0.97332,0.99011,0.88271,0.88154,0.86012,0.88441,0.75483,0.59803,1.57228,0.06485,0.23746,0.01304,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8271.37,0.83725,2.59697,0.23354,0.41563,0.01446,1.58701,0.9721,0.97247,0.99071,0.88682,0.87879,0.86108,0.88212,0.76024,0.59037,1.56357,0.06351,0.22844,0.01284,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8499.43,0.8316,2.56923,0.23343,0.41255,0.01449,1.5899,0.97152,0.97349,0.99052,0.88453,0.88619,0.86581,0.88883,0.76104,0.59162,1.52865,0.06366,0.22878,0.01289,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8727.71,0.82791,2.55255,0.23226,0.40936,0.01437,1.55204,0.97255,0.97528,0.99057,0.88719,0.89337,0.86109,0.89088,0.76433,0.58773,1.50934,0.06473,0.22726,0.01279,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8955.42,0.83017,2.55537,0.23254,0.41598,0.01433,1.50775,0.97147,0.97638,0.99027,0.88773,0.89457,0.87258,0.89872,0.7697,0.5856,1.48121,0.06305,0.22584,0.01275,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9183.43,0.82772,2.55466,0.23194,0.41928,0.01427,1.50901,0.97453,0.97013,0.99023,0.88892,0.89102,0.87167,0.89782,0.77081,0.58343,1.48752,0.06321,0.22745,0.01269,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
